url,name,website,socials,email,address,contact,description,years_active,staff,awards
https://architectdirectory.co.uk/practice/10-design,10 Design,https://www.10design.co/,"[""https://twitter.com/@_10DESIGN"", ""https://instagram.com/10design.co""]",info@10design.co,,Chris Jones,"10 Design, part of Egis Group, is an international architecture and master planning practice with offices in Hong Kong, Shanghai, Edinburgh, Dubai, Miami*, London*, Shenzhen, Singapore, San Francisco*, and Dallas*. Founded in 2010, the practice has won over 80 international awards and major design competitions. Our diverse and creative team with 380 architects and designers from 35 nationalities has designed and delivered work in 60 cities across Asia, the Middle East, Europe, and Americas. 10 Design works at diverse scales, from the design of individual buildings to the planning of cities. The practice focuses on bringing innovative design solutions for multicultural projects, with economic and social integrity. Its works include transport-oriented developments as well as mixed-use, retail, hospitality, residential, research and science, and civic and cultural projects. *San Francisco-based hospitality expert SB Architects has joined 10 Design (part of Egis Group) in July 2022. 10 Design's parent company, Egis is a global leader in the consulting, construction engineering, and mobility service sectors. With a worldwide reputation for excellence and sustainability, Egis and 10 Design together provide a compelling offer that encompasses building engineering services and architectural design. Addresses 10 Valentine Place London, SE1 8QH 1st Floor, 132 Princes Street, Edinburgh, EH2 4AH Contact Chris Jones Twitter @_10DESIGN Instagram 10design.co",11,125 +,[]
https://architectdirectory.co.uk/practice/15-aarchitecture,15 Aarchitecture,https://www.onepointfivearchitecture.com/,"[""https://twitter.com/@1point5arch""]",george@onepointfivearchitecture.com,"Unit 12, Palmers Road, London, E2 0SY",George Morgan,"We are a friendly, contemporary architecture practice where sustainability is central to our design process. We love helping clients on the way to having a beautiful, practical, sustainable home, or fruitful development, which brings joy to everyday life. Address Unit 12, Palmers Road, London, E2 0SY Contact George Morgan Twitter @1point5arch",2,0 - 4,[]
https://architectdirectory.co.uk/practice/2-lockwood-architects,2 Lockwood Architects,https://2lockwood.com/,[],info@2lockwood.com,"Red Gable, Nags Head Lane, Great Missenden, HP16 0HG",Dina Lockwood,"Lockwood have an in-depth understanding about how we live, and how the environment surrounding the home is just as important to us. With a combined Urban Design and Residential Architecture specialism the practice brings this broad expertise to every project. Address Red Gable, Nags Head Lane, Great Missenden, HP16 0HG Contact Dina Lockwood",3,0 - 4,[]
https://architectdirectory.co.uk/practice/2020-architects,2020 Architects,https://www.2020architects.co.uk/,"[""https://twitter.com/@2020architects"", ""https://instagram.com/2020architects""]",info@2020architects.co.uk,"49 Main Street, Ballymoney, BT53 6AN",Gareth Boyd,"Situated on the North Coast, 2020 is passionate about pushing the boundaries of design, demonstrating a practical commitment to enhancing the overall experience of architecture. This is evident in their design of projects across the country – which boast a design aesthetic which has become synonymous with 2020 Architects. Address 49 Main Street, Ballymoney, BT53 6AN Contact Gareth Boyd Twitter @2020architects Instagram 2020architects",8,5 - 19,[]
https://architectdirectory.co.uk/practice/23-gs-318,23 Gs 318,http://318.studio/,"[""https://twitter.com/@23+GS/318"", ""https://instagram.com/23_gs_318studio""]",,,,"23 + GS / 318 is an architecture and interior design studio formed as a union between two successful architectural practices – 23 Architecture and Guy Stansfeld Architects. The two practices were established by Stuart Robertson and Guy Stansfeld respectively and have been collaborating closely since deciding to pool resources in 1997. We offer our clients a comprehensive bespoke service that is highly professional, friendly and discreet. Our team of architects and designers are talented, highly qualified and able to draw on a vast body of collective experience. The work that we create is both beautiful and practical, absorbing the personalities and interests of our clients whilst at the same time reflecting our own preoccupation with light, space, materiality and, of course, functionality. We believe passionately in the need for a more sustainable built environment and encourage our clients to take full advantage of the latest developments in technology and product design. Addresses 2 Olaf Street, London, W11 4BE Bridgeway House, Mellor Road, Cheadle Hulme, SK8 5AU Contact Stuart Robertson Twitter @23+GS/318 Instagram 23_gs_318studio",23,5 - 19,[]
https://architectdirectory.co.uk/practice/24-three-consultants,24 Three Consultants,http://www.24three.co.uk/,"[""https://instagram.com/24three__""]",hello@24three.co.uk,,Sheleendra Fernando,"At 24/Three, we believe in the art of possibility. We are architects, designers, and collaborators specialising in transforming environments across all scales with thoughtful, innovative design. We are a proudly diverse team, committed to fostering an inclusive, sustainable, and enjoyable working environment. We dedicate ourselves to understanding our clients’ needs, respecting environmental and societal impacts, and delivering innovative solutions that blend form and function. We build lasting partnerships and earn trust by aligning our expertise with client visions. Committed to quality, consistency, and beauty, we ensure every project is viable and impactful. At 24/Three, we don’t just design buildings; we design to build. Addresses Nottinghamshire The Barn, Huddlestones Wharf, Millgate, Newark, NG24 4UL Northamptonshire Vulcan Works, 34-38 Guildhall Road, Northampton, NN1 1EW Contact Sheleendra Fernando Instagram 24three__",4,5 - 19,[]
https://architectdirectory.co.uk/practice/2pm-architects,2Pm Architects,https://2pm-architects.co.uk/,"[""https://instagram.com/@2pmarchitects""]",studio@2pm-architects.co.uk,"45 Dresden Road, London, N19 3BG",Matthew Byron,"2PM are experienced RIBA Chartered Architects and Passivhaus Designers. We work with our clients to transform and create beautiful, bespoke, modern homes. Our studio delivers exceptional architecture on all scales of project, from large houses to small home extensions. We bring creativity, innovative design, planning and technical expertise, and the highest levels of professionalism to all our work. Address 45 Dresden Road, London, N19 3BG Contact Matthew Byron Instagram @2pmarchitects",13,0 - 4,[]
https://architectdirectory.co.uk/practice/31-44,31 44,https://www.3144architects.com/,"[""https://twitter.com/@31_44"", ""https://instagram.com/31_44""]",london@3144architects.com,"6 Osborn Street, London, E1 6TD",William Burges,"Founded in 2010 by Will Burges and Stephen Davies, 31/44 Architects is currently a team of ten people based in our studio near Brick Lane, east London, we also have a satellite office in Nantes, France, led by Benoit Sanson. Our projects seek to connect the historic, cultural, spatial and material qualities of a place with the intent to complement and reinforce the particular conditions of their setting. We make these connections in a number of ways. We look at history, neighbouring buildings – what they are made of and how they are built – the street pattern, urban form, and the cultural and social setting. When we have looked carefully for clues on how we may introduce a new building we overlay the specific requirements of our project. This results in buildings that are finely tuned to their future use and introduced to their setting with care and consideration. These connections can happen on many levels, from the scale of the city through to a precise construction detail. They can be direct or quite abstract. Ultimately we hope that they enable a new reading of the building in relation to its site and that we enrich what we find. Address 6 Osborn Street, London, E1 6TD Contact William Burges Twitter @31_44 Instagram 31_44",12,5 - 19,[]
https://architectdirectory.co.uk/practice/32-design,32 Design,http://www.32design.net/,[],mail@32design.net,"Churchill House, 137-139 Brent Street, London, NW4 4DJ",Parham Bakhtar,"We help you define, imagine and realise your project. Established in 2008, 32 Design Architects is an RIBA chartered Practice. Address Churchill House, 137-139 Brent Street, London, NW4 4DJ Contact Parham Bakhtar",15,0 - 4,[]
https://architectdirectory.co.uk/practice/3bd,3Bd,http://www.3bdarchitects.com/,[],info@3bdarchitects.com,"13 Blackfields Lane, Bristol, BS2 8QW",Daniel Flamsteed,"3bd Architects (LLP) is a RIBA (Royal Institute of British Architects) award-winning architectural practice run by three Partners who have a strong design focus and have over 30 years of experience between them. Founded in 2010, we have always had a clear vision for delivering creative, functional and innovative architecture. Address 13 Blackfields Lane, Bristol, BS2 8QW Contact Daniel Flamsteed",13,5 - 19,[]
